date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:25:05	84568/84568	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:05	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Jul%202020%2009:25:05%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:05	125016/125016	---M--	200	added ('OK')	font/ttf	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-brands-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:06	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:06	34388/34388	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:00%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.eot?	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400d41d.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:06	13608/13608	---M--	200	added ('OK')	font/woff2	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff2	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:06	16812/16812	---M--	200	added ('OK')	font/woff	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.woff	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:06	34092/34092	---M--	200	added ('OK')	font/ttf	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.ttf	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:07	1237/1237	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2004%20Jul%202020%2009:25:07%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-regular-400.svg	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
10:25:07	186512/186512	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Wed,%2026%20Feb%202020%2005:23:02%20GMT	https://affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	C:/Users/admin/Desktop/salima/sta/affixtheme.com/html/xmee/demo/webfonts/fa-solid-900.eot	(from https://affixtheme.com/html/xmee/demo/css/fontawesome-all.min.css)
